FID,OBJECTID_1,ZIP_CODE,Shape__Area,Shape__Length
1,1,77371,1244441353.48438,223749.362711645
2,2,77331,304532693.316406,130259.009143084
3,3,77358,149750174.785156,71529.4196714433
4,4,77378,375237820.101563,121150.753751493
5,5,77868,1101314925.92188,210542.360668982
6,6,77327,1688570829.94531,285004.044363592
7,7,77303,220421917.066406,85168.5369978686
8,8,77880,144198542.972656,61720.1357630334
9,9,77426,545990392.695313,166270.585731169
10,10,77301,67550037.0703125,34207.7472568861
11,11,77306,138946246.269531,62841.9193853088
12,12,77372,174986278.617188,83115.552395305
13,13,77575,837225085.085938,217398.106440746
14,14,77568,48158346.4296875,53572.8814134433
15,15,77564,314523234.914063,92198.087524397
16,16,77510,89458026.3867188,58797.63761221
17,17,77357,202071252.394531,89733.6255330814
18,18,77535,888609068.433594,192949.553696784
19,19,77445,475584749.554688,190791.484079802
20,20,77085,19786980.4648438,21104.4634161002
21,21,77015,78315533.3125,59073.3655498726
22,22,77336,150174586.925781,64894.3469985345
23,23,77418,757129060.34375,163559.342529013
24,24,77339,57976603.1210938,39838.8629220744
25,25,77034,47925288.8203125,40847.2796241372
26,26,77090,28741820.6132813,26073.9397656447
27,27,77068,12647533.5898438,16486.0648100868
28,28,77014,25886392.09375,22181.8462883997
29,29,77069,15158756.8789063,18659.6193224437
30,30,77066,32740445.5078125,23855.9491074609
31,31,77060,28302022.3554688,24602.5200899777
32,32,77067,19148880.765625,20541.5259881966
33,33,77064,51532531.7382813,30752.7611047504
34,34,77065,28124062.5898438,22936.4463489566
35,35,77086,22482198.875,24107.8201832648
36,36,77038,33728687.078125,28179.1425996977
37,37,77037,22783431.5195313,25484.7950581766
38,38,77474,798180799.945313,228964.358585126
39,39,77088,39605134.578125,27812.3209998224
40,40,77093,41297032.4960938,30119.039425474
41,41,77016,36171461.1601563,28938.0647021608
42,42,77514,1475675985.74219,234669.975047224
43,43,77597,84451003.359375,44592.0956102308
44,44,77076,16576346.9023438,17832.8036438988
45,45,77091,23885118.5546875,25351.2498087114
46,46,77028,31315493.7421875,26184.9725129659
47,47,77022,19873774.8984375,18951.4229566336
48,48,77043,23602666.7734375,22962.1325262825
49,49,77055,29674290.9648438,29957.3055511578
50,50,77026,22600540.0351563,21961.4525886022
51,51,77008,22699880.5585938,19881.8039069903
52,52,77013,33622489.4140625,28335.2271083894
53,53,77562,61314802.5195313,49347.4042725366
54,54,77078,35380896.78125,30563.8449250309
55,55,77532,305655865.5625,87835.075612082
56,56,77049,85122427.4257813,55391.0298124399
57,57,77530,61497188.3554688,44205.6964259347
58,58,77365,160172795.054688,87428.8007449368
59,59,77345,26035267.9570313,30062.9579423061
60,60,77554,129108021.089844,196397.202792889
61,61,77029,38061545.9648438,36640.3310623442
62,62,77020,24410720.3359375,24611.3629015932
63,63,77079,26897299.6484375,36335.7401898451
64,64,77007,26574650.9375,32885.5070144192
65,65,77493,215338018.085938,75920.8286576791
66,66,77094,66327853.234375,41321.3810924736
67,67,77077,28885027.4921875,25915.3434025666
68,68,77057,14683484.4257813,18763.7842680391
69,69,77056,12108938.5390625,17343.5961597057
70,70,77002,7149420.80859375,21907.5293324332
71,71,77027,8785166.51171875,18628.2631926742
72,72,77003,9807752.4375,19933.927313819
73,73,77536,61112620.3007813,39305.7059858095
74,74,77019,12872291.7109375,24255.2926639457
75,75,77547,17652263.5820313,20380.0409996624
76,76,77010,424726.5078125,3043.39270017359
77,77,77011,12015015.0195313,18423.2561057462
78,78,77006,7844794.8828125,13087.3893920233
79,79,77012,18137797.4257813,29040.1798089516
80,80,77506,36916380.390625,26696.1505675379
81,81,77503,30014073.6015625,29670.0577692667
82,82,77023,19300054.4570313,23397.1217963236
83,83,77004,19124787.6210938,20088.8935415859
84,84,77098,6176993.390625,10574.8060386236
85,85,77046,775990.77734375,4083.60176041356
86,86,77005,11585403.0976563,18137.7602379949
87,87,77485,317409706.175781,176768.635189896
88,88,77401,13006767.6835938,20668.1381601406
89,89,77081,10511760.8867188,21485.7644606244
90,90,77441,140621032.785156,89131.2817493469
91,91,77030,11422975.921875,15540.2579844149
92,92,77074,19822438.3789063,27544.1982426739
93,93,77036,25503960.1757813,26748.8916053169
94,94,77072,25573280.4179688,21041.6170463549
95,95,77087,22732407.3085938,24437.1843781847
96,96,77021,22009248.9882813,23428.3856931804
97,97,77083,34673286.078125,27980.8711905777
98,98,77017,29766984.2929688,26623.3798362204
99,99,77092,28461578.0039063,32447.8237152169
100,100,77025,14553841.6835938,18560.6824651188
101,101,77054,19243088.0898438,22414.4046016252
102,102,77033,19952029.8242188,18495.7985576162
103,103,77502,19399031.0039063,20791.553976535
104,104,77096,21004430.0585938,21479.3338504283
105,105,77099,21853540.3203125,23285.7260925732
106,106,77051,19416364.2773438,20928.8975881493
107,107,77061,26865550.6875,25395.907397704
108,108,77071,14112541.8710938,17200.7698573756
109,109,77031,10673025.3632813,16672.9526477815
110,110,77035,18508888.1914063,22616.8910433496
111,111,77045,43513455.0664063,28931.665102856
112,112,77587,10446348.6992188,14216.8360152412
113,113,77505,26508700.0859375,24350.8930507975
114,114,77504,18366889.3398438,17737.6892215655
115,115,77346,75483855.078125,48834.1228338003
116,116,77471,342786619.5,137314.937637195
117,117,77362,39191358.3359375,45700.1145796237
118,118,77598,48504658.2890625,47868.4284819497
119,119,77062,20495843.203125,20626.5822048368
120,120,77082,33307853.2734375,31052.864412384
121,121,77546,108406582.027344,53227.6253731932
122,122,77565,22364492.5664063,30428.3717872622
123,123,77573,104148391.96875,66616.1169478214
124,124,77417,191205403.492188,84888.174305243
125,125,77018,23114981.9257813,23407.4799568086
126,126,77650,190408690.605469,184612.270373109
127,127,77591,64695220.9492188,47337.1862353779
128,128,77590,91461350.375,81618.5399890494
129,129,77517,66858828.4492188,52330.0421272249
130,130,77563,227160683.132813,86237.6792194624
131,131,77444,79615899.8476563,58126.1433937777
132,132,77550,27318706.8242188,45963.6679983738
133,133,77577,205400408.832031,89191.8094327982
134,134,77041,66878380.8359375,40140.7223762305
135,135,77541,787438465.410156,223438.21026765
136,136,77080,22578255.0039063,19602.023713995
137,137,77084,135062527.410156,54583.7505449587
138,138,77070,45427439.4179688,36700.3336861984
139,139,77586,49825919.6601563,44555.7299545069
140,140,77507,45330668.46875,31296.0901862421
141,141,77058,33758376.03125,34305.8669077286
142,142,77059,32180689.71875,31003.2634437597
143,143,77044,167294904.75,67297.1506410532
144,144,77396,79207049.4375,43896.9588738331
145,145,77338,99841594.4960938,60985.3334577781
146,146,77009,21398458.1875,20536.4506966187
147,147,77040,47939093.6328125,36187.6776823595
148,148,77024,42104361.4609375,43682.5248679116
149,149,77551,14238361.9804688,21875.4332664813
150,150,77450,63550569.9921875,40990.7742989948
151,151,77073,53287361.6523438,31725.680613952
152,152,77461,503235515.378906,172753.348611089
153,153,77089,40600584.046875,33532.1998123415
154,154,77423,526422724.863281,140708.393333124
155,155,77494,130155737.523438,55546.9469128394
156,156,77479,123157442.992188,74860.9733241965
157,157,77518,9920386.5546875,15022.7469923831
158,158,77539,180742741.296875,88349.2245605092
159,159,77042,20360879.4257813,22442.6252691174
160,160,77486,419200417.269531,165498.423868665
161,161,77063,15355467.0585938,22980.6969799795
162,162,77534,218151669.695313,78541.140688096
163,163,77430,473188291.320313,143643.534181174
164,164,77511,485122080.480469,140129.649213885
165,165,77459,105225433.800781,72398.8437430243
166,166,77477,40537410.5234375,40855.564322543
167,167,77379,89059459.8320313,42406.2131614976
168,168,77381,47585841.8867188,39597.7188946515
169,169,77302,186245735.796875,83355.8265568852
170,170,77380,42167073.4257813,35069.6385589509
171,171,77388,48497226.3828125,32953.2453249227
172,172,77382,38153104.3320313,38774.9739753718
173,173,77304,167480909.796875,73538.5770779908
174,174,77389,74106397.671875,46943.507873711
175,175,77384,59029994.8203125,50898.266154738
176,176,77385,78488943.84375,45111.8345090685
177,177,77373,83270417.0546875,49645.0937878829
178,178,77386,141563707.613281,75626.1818984984
179,179,77571,132151596.578125,78172.7206809767
180,180,77354,249893402.023438,129462.208447114
181,181,77484,765170433.472656,194891.202470393
182,182,77355,174739184.976563,65133.6631308158
183,183,77095,51415531.5742188,28618.1119060816
184,184,77363,131257974.9375,48302.3056077233
185,185,77356,931214642.992188,164683.450251177
186,186,77449,95579567.7890625,48289.198943754
187,187,77447,375903180.355469,137267.264589007
188,188,77429,130113129.660156,63355.8903416035
189,189,77375,117552747.230469,60184.6696267704
190,190,77050,22832945.1171875,22850.0009507444
191,191,77039,35005676.5664063,28389.3012511995
192,192,77032,72859895.2226563,46396.834691307
193,193,77520,97985407.6445313,60548.6722512917
194,194,77521,181484889.582031,67872.7757170804
195,195,77406,214291768.917969,93150.3431562676
196,196,77523,372723937.339844,136435.37554626
197,197,77469,491297399.910156,157368.303248454
198,198,77407,65654707.3476563,41932.8105084702
199,199,77498,57074691.4726563,32882.4991382319
200,200,77478,35545788.2734375,31715.5113046246
201,201,77075,39046006.8632813,30127.5404196807
202,202,77047,48053143.765625,32459.6970944311
203,203,77545,60350487.890625,41862.9012879316
204,204,77489,32865256.0390625,38179.0782569432
205,205,77578,123579252.949219,61495.2105421365
206,206,77581,85911918.1835938,54375.9142134969
207,207,77584,118161077.160156,60401.7350535338
208,208,77583,690603481.652344,180149.239553885
209,209,77048,38737363.6875,28967.8890066447
